City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,constitucion,-35.3333,-72.4167,15.78,68,0,1.99,CL,1674385178
84,coahuayana,18.7333,-103.6833,18.87,82,0,1.73,MX,1674385179
85,chokurdakh,70.6333,147.9167,-40.74,99,89,3.36,RU,1674385179
86,iqaluit,63.7506,-68.5145,-12.15,92,100,3.6,CA,1674385179
87,bredasdorp,-34.5322,20.0403,24.49,54,98,3.36,ZA,1674385179
88,kununurra,-15.7667,128.7333,27.99,89,40,1.54,AU,1674385179
89,qaanaaq,77.484,-69.3632,-34.17,67,68,2.97,GL,1674385179
90,honiara,-9.4333,159.95,26.05,87,85,1.77,SB,1674385180
91,san quintin,30.4833,-115.95,11.28,62,0,0.95,MX,1674385180
92,punta arenas,-53.15,-70.9167,4.06,81,0,1.54,CL,1674385180
93,port lincoln,-34.7333,135.8667,17.97,80,0,7.2,AU,1674385180
94,ambanja,-13.6833,48.45,23.96,93,99,1.84,MG,1674385140
95,nacozari,25.3366,-108.2574,5.59,68,0,2.69,MX,1674385180
96,nemuro,43.3236,145.575,-5.6,66,95,8.79,JP,1674385181
97,albany,42.6001,-73.9662,-1.34,84,16,1.22,US,1674385056
98,avarua,-21.2078,-159.775,24.03,88,100,1.54,CK,1674385181
99,nome,64.5011,-165.4064,-29.94,77,17,2.87,US,1674385181
100,manastiur,45.8167,22.0667,10.36,66,19,1.45,RO,1674385181
101,shingu,33.7333,135.9833,5.96,59,86,1.37,JP,1674384931
102,quang ngai,15.1167,108.8,21.75,95,76,1.52,VN,1674385181
103,half moon bay,37.4636,-122.4286,9.95,87,40,4.12,US,1674385181
104,kavaratti,10.5669,72.642,26.89,70,49,6.13,IN,1674385182
105,santiago,-33.4569,-70.6483,22.36,49,0,1.54,CL,1674384910
106,tabou,4.423,-7.3528,28.93,70,85,3.41,CI,1674385182
107,porto santo,33.072,-16.3415,16.21,63,40,7.2,PT,1674385182
108,la ronge,55.1001,-105.2842,-4.86,93,100,2.57,CA,1674385182
109,mount isa,-20.7333,139.5,31.87,20,9,3.6,AU,1674385182
110,samarkand,39.6542,66.9597,-3.32,74,100,3.09,UZ,1674384964
111,charters towers,-20.1,146.2667,24.58,80,68,5.06,AU,1674385182
